ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma20_up,ma5_flat,ret,hv20,hv60,vol_expansion,vol_ma20,vol_shrink,vol_surge,obv,obv_ma20,price_new_low,obv_not_new_low,obv_divergence,rzye,rzye_chg,rzye_ma5,north_net,north_ma5,north_sum5,score,signal
000001.SH,2025-04-18,3276.7304,3270.3534,3283.0896,3262.3916,3280.3412,-3.6108,-0.11007391548171208,358836193.0,380313472.6,3272.70906,3291.462455,3318.41601,False,False,-0.0011007391548171208,0.2874905409907438,0.1881379230768153,True,475316478.85,False,False,9396807844.0,7335170213.45,False,True,False,1792714656197.0,-0.0034920131141684685,-0.0006152351996091765,,,,26.0,避险
000001.SH,2025-04-21,3291.4341,3273.1383,3298.6398,3270.0131,3276.7304,14.7037,0.44873084462486723,379307588.0,429391687.8,3278.43438,3287.7926250000005,3319.339378333333,False,False,0.004487308446248672,0.2851902530124426,0.18826649880760116,True,468238726.75,False,False,9776115432.0,7484278836.8,False,True,False,1798442398186.0,0.0031950104101623467,-0.000956774809184524,,,,34.0,减仓
000001.SH,2025-04-22,3299.7571,3289.1664,3311.1529,3288.3316,3291.4341,8.323,0.25286849887105056,403167615.0,452675442.0,3284.85334,3284.2790649999997,3320.304976666667,False,False,0.0025286849887105056,0.2853254116403992,0.18829667392932928,True,462731594.5,False,False,10179283047.0,7627880327.9,False,True,False,1797762860110.0,-0.000377848118285784,-0.0010867060986721189,13.489672,14.164335400000002,70.82167700000001,40.0,减仓
000001.SH,2025-04-23,3296.3552,3308.1514,3312.1923,3293.0633,3299.7571,-3.4019,-0.10309546723907825,411633212.0,486209315.2,3288.9235999999996,3280.59801,3321.17127,False,True,-0.0010309546723907825,0.2853067597560812,0.18831618568570652,True,460495385.45,False,False,9767649835.0,7773718028.05,False,True,False,1799789338452.0,0.001127222275509654,-0.00028819134620756693,15.184235000000001,13.9282432,69.641216,44.0,止跌
000001.SH,2025-04-24,3297.2881,3295.1487,3313.5087,3286.2363,3296.3552,0.9329,0.028300954945637002,392844749.0,434706037.2,3292.31298,3277.0275500000002,3322.0823616666667,False,True,0.00028300954945637,0.2853338270868144,0.18830736014903363,True,458710934.4,False,False,10160494584.0,7960624654.15,False,True,False,1796873912461.0,-0.0016198706863701506,-0.0002334998466304805,13.866425,14.021474399999999,70.107372,44.0,止跌
000001.SH,2025-04-25,3295.06,3300.3916,3305.2618,3288.7545,3297.2881,-2.2281,-0.0675737130765186,411043192.0,445417627.3,3295.9789000000005,3273.093105,3323.4396333333334,False,True,-0.000675737130765186,0.2851945725522922,0.1873243641307525,True,458524278.3,False,False,9749451392.0,8106240304.95,False,True,False,1791472135815.0,-0.0030062079529006303,-0.00013633881437691286,14.224997,13.7088032,68.544016,44.0,止跌
000001.SH,2025-04-28,3288.4147,3292.0559,3296.9318,3279.8773,3295.06,-6.6453,-0.20167462807961778,410665863.0,441916383.1,3295.3750200000004,3269.9485,3324.410483333333,False,True,-0.002016746280796178,0.2844540270583632,0.18713859029457502,True,458443357.0,False,False,9338785529.0,8251936877.05,False,True,False,1792676424290.0,0.0006722339973499469,-0.0006408940969393929,13.822166000000001,14.117499,70.587495,40.0,减仓
000001.SH,2025-04-29,3286.6548,3281.4453,3294.9815,3277.6271,3288.4147,-1.7599,-0.05351818917486151,388961672.0,430881033.5,3292.75456,3267.49393,3324.977623333333,False,True,-0.0005351818917486151,0.2840890417085592,0.18664166628917303,True,454262841.7,False,False,8949823857.0,8401813964.45,False,True,False,1791325949980.0,-0.0007533285381018384,-0.0007159901809026037,13.627348999999999,14.1450344,70.725172,40.0,减仓
000001.SH,2025-04-30,3279.0314,3284.0812,3292.2002,3277.5499,3286.6548,-7.6234,-0.23195012752784683,435794335.0,505572584.2,3289.2898,3264.023745,3325.451468333333,False,True,-0.0023195012752784683,0.28366634944543717,0.1867076911627737,True,454923124.95,False,False,8514029522.0,8508771901.6,False,True,False,1775692489027.0,-0.008727312275677468,-0.002686897091140028,15.067502,14.1216878,70.608439,40.0,减仓
000001.SH,2025-05-06,3316.1135,3295.2504,3316.4476,3286.9886,3279.0314,37.0821,1.1308857853572274,474369617.0,551825065.6,3293.0548799999997,3262.32309,3326.895233333333,False,True,0.011308857853572274,0.28694358192046715,0.1875379567161247,True,461135237.6,False,False,8988399139.0,8621941951.4,False,True,False,1790073619899.0,0.008098885905565956,-0.0007431457727528068,17.411101000000002,14.830623,74.153115,40.0,减仓
